policy,factor,value,trade_count,gross_R,friction_R,net_R,average_R,median_R,win_rate,loss_rate,profit_factor,max_drawdown_R,average_hold_minutes,median_hold_minutes,position_hours,R_per_position_hour,mean_MFE_R,mean_MAE_R,duration_exit_count,SL_exit_count,TP_exit_count,original_exit_count,evidence_class
60,session,LONDON_NEWYORK,16,0.664223508497482,2.7609542417974873,-2.0967307333000056,-0.13104567083125035,-0.04509167690183703,0.5,0.5,0.5945621958159532,2.6030478034396625,44.25,60.0,11.8,-0.1776890451949157,0.5566713930724043,-0.5184914561258942,9,3,0,7,WEAK_FORMAL_ATTRIBUTION
60,higher_timeframe_bias,BEARISH,31,-6.1162605574132325,5.886441025855691,-12.002701583268923,-0.387183922040933,-0.28703181723072263,0.3548387096774194,0.6451612903225806,0.25381028581715365,12.168562874862005,43.87096774193548,55.0,22.666666666666668,-0.5295309522030407,0.47656775313968075,-0.5856122299593347,15,10,0,16,WEAK_FORMAL_ATTRIBUTION
90,trend_regime,RANGE,12,-4.987721977516016,2.4439814832166404,-7.431703460732656,-0.6193086217277214,-0.7448981376941735,0.25,0.75,0.10791199388081033,7.764957883004612,54.666666666666664,49.0,10.933333333333334,-0.6797289750670112,0.5170772330566052,-0.572561436144415,4,5,0,8,WEAK_FORMAL_ATTRIBUTION
90,trend_regime,TREND,19,-2.8837303896106827,3.442459542639051,-6.326189932249734,-0.3329573648552491,-0.4180010337999466,0.2631578947368421,0.7368421052631579,0.37575528638312183,7.46666986092096,58.8421052631579,71.0,18.633333333333333,-0.33950929868961005,0.6315081699094245,-0.6483311825136254,8,6,0,11,WEAK_FORMAL_ATTRIBUTION
90,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
90,volatility_regime,LOW,1,-0.11967755575395789,0.12822595259349975,-0.24790350834745764,-0.24790350834745764,-0.24790350834745764,0.0,1.0,0.0,0.24790350834745764,44.0,44.0,0.7333333333333333,-0.33805023865562406,0.14532274627263603,-0.5300006040531878,0,0,0,1,DESCRIPTIVE_ONLY
90,volatility_regime,NORMAL,28,-6.881657023438179,5.2506107634445245,-12.132267786882704,-0.4332952781029537,-0.4736275558928025,0.2857142857142857,0.7142857142857143,0.2795227108062739,13.9678379905384,60.714285714285715,72.5,28.333333333333332,-0.42819768659586016,0.6368201931275485,-0.6385619937516702,12,10,0,16,WEAK_FORMAL_ATTRIBUTION
90,session,ASIAN_LONDON,15,-9.461819862675776,3.125486784058204,-12.58730664673398,-0.839153776448932,-1.1368403758384227,0.13333333333333333,0.8666666666666667,0.024043172512647773,12.620961447968568,54.2,49.0,13.55,-0.9289525200541682,0.416401722054272,-0.6997584077518726,5,8,0,10,WEAK_FORMAL_ATTRIBUTION
90,session,LONDON_NEWYORK,16,1.590367495549078,2.7609542417974873,-1.1705867462484094,-0.07316167164052559,-0.20188254745385964,0.375,0.625,0.7897439272864761,2.6030478034396625,60.0625,81.5,16.016666666666666,-0.07308554086878727,0.7473472621340156,-0.5432908490758608,7,3,0,9,WEAK_FORMAL_ATTRIBUTION
90,higher_timeframe_bias,BEARISH,31,-7.8714523671266985,5.886441025855691,-13.75789339298239,-0.4438030126768513,-0.47016228280217875,0.25806451612903225,0.7419354838709677,0.2549138106305591,14.215741498885855,57.225806451612904,55.0,29.566666666666666,-0.4653177021301823,0.5872123233857526,-0.6190009581126407,12,11,0,19,WEAK_FORMAL_ATTRIBUTION
120,trend_regime,RANGE,12,-4.6293225324880245,2.4439814832166404,-7.073304015704665,-0.5894420013087222,-0.6634655674652983,0.3333333333333333,0.6666666666666666,0.10819502071202455,7.406558437976621,63.333333333333336,49.0,12.666666666666666,-0.5584187380819473,0.5170772330566052,-0.572561436144415,3,5,0,9,WEAK_FORMAL_ATTRIBUTION
120,trend_regime,TREND,19,1.2134554254552372,3.442459542639051,-2.229004117183814,-0.11731600616756915,-0.28703181723072263,0.3684210526315789,0.631578947368421,0.7659426642109872,5.624699183768,70.52631578947368,71.0,22.333333333333332,-0.0998061545007678,0.794986678960619,-0.6634814171903854,5,6,0,14,WEAK_FORMAL_ATTRIBUTION
120,volatility_regime,HIGH,2,-0.8701177879345617,0.5076043098176675,-1.377722097752229,-0.6888610488761145,-0.6888610488761145,0.0,1.0,0.0,1.377722097752229,15.0,15.0,0.5,-2.755444195504458,0.11364693555716837,-0.38964663619595435,0,1,0,2,DESCRIPTIVE_ONLY
120,volatility_regime,LOW,1,-0.11967755575395789,0.12822595259349975,-0.24790350834745764,-0.24790350834745764,-0.24790350834745764,0.0,1.0,0.0,0.24790350834745764,44.0,44.0,0.7333333333333333,-0.33805023865562406,0.14532274627263603,-0.5300006040531878,0,0,0,1,DESCRIPTIVE_ONLY
120,volatility_regime,NORMAL,28,-2.426071763344268,5.2506107634445245,-7.676682526788792,-0.2741672330995997,-0.43379458936826,0.39285714285714285,0.6071428571428571,0.5150286562968438,10.560221927426927,72.35714285714286,72.5,33.766666666666666,-0.2273449909216819,0.7477520385551447,-0.6488425101394716,8,10,0,20,WEAK_FORMAL_ATTRIBUTION
120,session,ASIAN_LONDON,15,-9.466028162285857,3.125486784058204,-12.591514946344061,-0.8394343297562707,-1.1368403758384227,0.13333333333333333,0.8666666666666667,0.01659846950341148,12.625169747578646,64.2,49.0,16.05,-0.7845180651927763,0.416401722054272,-0.7189487050091021,5,8,0,10,WEAK_FORMAL_ATTRIBUTION
120,session,LONDON_NEWYORK,16,6.05016105525307,2.7609542417974873,3.289206813455583,0.20557542584097394,0.17300797694788905,0.5625,0.4375,1.7072453022796552,2.6030478034396625,71.0625,81.5,18.95,0.1735729189158619,0.9414779916323089,-0.5432908490758608,3,3,0,13,WEAK_FORMAL_ATTRIBUTION
120,higher_timeframe_bias,BEARISH,31,-3.4158671070327875,5.886441025855691,-9.302308132888479,-0.30007445589962833,-0.3592115740820133,0.3548387096774194,0.6451612903225806,0.46706218852244236,10.817320236206312,67.74193548387096,55.0,35.0,-0.2657802323682423,0.6874088289332588,-0.6282865858177517,8,11,0,23,WEAK_FORMAL_ATTRIBUTION
